Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,27.350000,27.530001,26.910000,27.030001,26.710932,8406300
2023-01-10,27.110001,27.250000,26.540001,27.010000,26.691166,7882700
2023-01-11,27.389999,27.450001,26.650000,27.049999,26.730694,10004600
2023-01-12,27.200001,27.740000,27.070000,27.379999,27.056799,11655900
2023-01-13,27.160000,27.350000,26.719999,27.080000,26.760340,7098400
2023-01-17,27.180000,27.430000,26.660000,26.799999,26.483646,8658500
2023-01-18,27.080000,27.950001,26.809999,26.879999,26.562702,11099000
2023-01-19,26.770000,27.469999,26.540001,27.389999,27.066679,9500300
2023-01-20,27.480000,27.950001,27.180000,27.879999,27.550896,7665400
2023-01-23,28.100000,28.350000,27.860001,28.100000,27.768299,8744600
2023-01-24,29.850000,29.850000,27.250000,27.850000,27.521254,8649500
2023-01-25,27.790001,27.910000,27.250000,27.860001,27.531136,6115700
2023-01-26,28.260000,28.770000,27.760000,28.760000,28.420511,8211600
2023-01-27,28.700001,29.270000,28.290001,28.309999,27.975822,9297700
2023-01-30,27.889999,28.080000,27.049999,27.090000,26.770222,8300300
2023-01-31,27.000000,27.680000,26.809999,27.469999,27.145737,10242800
2023-02-01,27.330000,27.860001,26.240000,26.780001,26.463882,11936100
2023-02-02,26.750000,26.760000,25.799999,26.190001,25.880848,10782800
2023-02-03,26.230000,26.860001,25.990000,26.030001,25.722736,10744300
2023-02-06,26.059999,26.340000,25.400000,25.790001,25.485571,9701000
2023-02-07,26.049999,26.930000,25.639999,26.870001,26.552822,10743100
2023-02-08,26.900000,27.219999,26.330000,26.600000,26.286007,9762700
2023-02-09,26.600000,26.730000,26.080000,26.129999,25.821554,9859800
2023-02-10,26.660000,27.820000,26.650000,27.750000,27.422432,10718700
2023-02-13,27.459999,27.719999,27.209999,27.330000,27.007389,11076200
2023-02-14,26.900000,27.379999,26.629999,27.160000,26.937962,8891900
2023-02-15,26.620001,26.690001,25.430000,26.070000,25.856873,16524200
2023-02-16,26.080000,27.450001,26.000000,26.780001,26.561069,18392100
2023-02-17,26.160000,26.230000,25.510000,25.860001,25.648592,17629900
2023-02-21,25.850000,25.990000,25.309999,25.420000,25.212187,12520100
2023-02-22,25.320000,25.670000,24.870001,25.110001,24.904722,9454700
2023-02-23,25.600000,25.820000,24.990000,25.480000,25.271698,11341300
2023-02-24,25.090000,25.660000,24.940001,25.590000,25.380798,10079200
2023-02-27,25.580000,26.020000,25.330000,25.830000,25.618835,8610300
2023-02-28,26.080000,26.150000,25.129999,25.150000,24.944395,11830300
2023-03-01,25.170000,25.990000,25.080000,25.790001,25.579165,7395300
2023-03-02,25.660000,26.250000,25.580000,26.100000,25.886629,7210400
2023-03-03,25.639999,26.650000,25.530001,26.530001,26.313114,7614600
2023-03-06,26.270000,26.450001,26.059999,26.240000,26.025484,8554800
2023-03-07,26.049999,26.129999,25.590000,25.660000,25.450224,8339100
2023-03-08,25.549999,25.990000,25.080000,25.389999,25.182432,8610200
2023-03-09,25.500000,25.860001,24.520000,24.580000,24.379055,10182300
